Question,Choice1,Choice2,Choice3,Answer,Difficulty,Sort,,,,,,,
"신조어 ""팬아저""의 올바른 뜻은?",저는 팬 아닙니다,팬이 아니어도 저장,아저씨 팬,2,3,◇시사/상식◇,,,,,,,
다음 중 초능력으로 분류되는 것이 아닌 것은?,염력,투시력,노오력,3,2,◇시사/상식◇,,,,,,,
세계 3대 축구리그 중 하나인 'EPL'의 로고에 그려진 동물은?,뱀,사자,독수리,2,3,◇시사/상식◇,,,,,,,
미국 빌보드가 뽑은 2004년에 콘서트로 가장 돈을 많이 번 아티스트는?,마돈나,맛없나,마딛나,1,1,◇시사/상식◇,,,,,,,
벚꽃의 영문명은?,cherry blossoms,cherries jubiles,but flowers,1,2,◇시사/상식◇,,,,,,,
다음 중 태양에서 가장 가까운 곳은?,대구,지구,수성,3,1,◇시사/상식◇,,,,,,,
맥주 '산 미구엘'은 어느나라 브랜드인가?,뉴질랜드,멕시코,필리핀,3,4,◇시사/상식◇,,,,,,,
보노보노는 어떤 동물일까?,해달,건달,수달,1,3,◇시사/상식◇,,,,,,,
우리집 강아지는 (  ) 강아지♬~ 동요 '강아지'의 가사말 중 괄호에 들어갈 노랫말이 아닌 것은?,복슬,예쁜,몹쓸,3,2,◇시사/상식◇,,,,,,,
신조어 '띵작'은 무엇을 뜻하는 말일까?,머리가 띵해지는 현상,뛰어난 작품,사랑하는 사람을 부르는 애칭,2,2,◇시사/상식◇,,,,,,,
공연이 끝난 후 관객이 환호와 박수를 보내 배우들을 다시 무대로 나오게 하는 것은?,러브콜,치맥콜,커튼콜,3,2,◇시사/상식◇,,,,,,,
"""법이 너를 살렸다"" 는 의미의 신조어는?",법블레스유,땡스법,블레싱로우,1,2,◇시사/상식◇,,,,,,,
도쿄마츠리에서 최대로 할인 받을 수 있는 금액은?,1000원,10000원,전액,3,1,◇시사/상식◇,,,,,,,
도쿄마츠리 와이파이(Wifi) 비밀번호는?,a11223355,1번이,비밀번호,1,2,◇시사/상식◇,,,,,,,
이승기의 명곡 '내 여자라니까'의 작곡가는?,이선희,싸이,방시혁,2,3,◇시사/상식◇,,,,,,,
도쿄마츠리의 '마츠리'는 무슨뜻일까?,이자카야,안주맛집,축제,3,1,◇시사/상식◇,,,,,,,
농업에 취업한다는 신조어는?,촛농,취농,유기농,2,1,◇시사/상식◇,,,,,,,
바게트의 어원은?,가면,몽둥이,늘씬하다,2,3,◇시사/상식◇,,,,,,,
"아이돌 그룹 <블랙핑크, 위키미키, 모모랜드> 멤버 수의 총 합은?",19명,20명,21명,3,5,◇시사/상식◇,,,,,,,
"""닭의 알""이라는 뜻에서 만들어진 순우리말 단어는?",달걀,계란,후라이,1,3,◇시사/상식◇,,,,,,,
슈퍼마리오의 마리오는 [  ](으)로 벽돌을 깬다,코,머리,주먹,3,4,◇시사/상식◇,,,,,,,
"""엄근진""에 포함되지 않는 말은?",엄격하다,근엄하다,진솔하다,3,2,◇시사/상식◇,,,,,,,
한국조폐공사에서 제작한 K팝스타 기념메달 1호 가수는?,EXO,H.O.T.,방탄소년단,1,3,◇시사/상식◇,,,,,,,
"""서울시 도봉구 쌍문동""을 배경으로 만들어진 작품이 아닌 것은?",아기공룡 둘리,고고70,응답하라 1988,2,3,◇시사/상식◇,,,,,,,
혼자 시간을 보내는 것을 즐기는 '나홀로 문화'와 거리가 먼 것은?,혼인,혼밥,혼술,1,2,◇시사/상식◇,,,,,,,
삐삐 세대들이 쓰던 '17171771'은 무슨 뜻일까?,사랑해,빨리 와,미안해,1,4,◇시사/상식◇,,,,,,,
다음 보기 중 가장 진한 연필심은?,HB,H,4B,3,4,◇시사/상식◇,,,,,,,
농구에서 주전선수를 제외한 벤치멤버 중 가장 기량이 뛰어난 선수를 일컫는 말은?,벤치맨,식스맨,히든맨,2,4,◇시사/상식◇,,,,,,,
다음 중 '최고 시청률'이 가장 높았던 드라마는?,KBS2 첫사랑,MBC 사랑이 뭐길래,SBS 모래시계,1,5,◇시사/상식◇,,,,,,,
가수 '이적'이 속하지 않은 그룹은?,긱스,패닉,토이,3,5,◇시사/상식◇,,,,,,,
"""자유의 여신상""이 위치한 도시는?",샌프란시스코,워싱턴 D.C.,뉴욕,3,3,◇시사/상식◇,,,,,,,
"""알레산드라""라고도 불리는 그리스 신화 속 공주의 이름은?",카산드라,누구더라,히드라,1,3,◇시사/상식◇,,,,,,,
"""갑자기 분위기가 싸해짐""을 줄여 이르는 신조어는?",갑분싸,인싸,아싸,1,2,◇시사/상식◇,,,,,,,
히말라야 산맥 고지의 설선 부근에 살고 있다는 전설적 인수는?,울라프,눈사람,설인,3,2,◇시사/상식◇,,,,,,,
다음 보기 중 개봉한 적이 없는 한국 영화는?,아저씨,아가씨,아주머니,3,4,◇시사/상식◇,,,,,,,
다음 보기에 있는 걸그룹 '트와이스' 외국인 멤버중 국적이 다른 한 명은?,모모,사나,쯔위,3,2,◇시사/상식◇,,,,,,,
일본의 대표 향신료 와사비는 껍질을 까면 무슨 색일까?,초록색,자주색,노란색,1,3,◇시사/상식◇,,,,,,,
젤라토는 어느 나라의 아이스크림일까?,터키,이탈리아,스페인,2,3,◇시사/상식◇,,,,,,,
[  ] 굽는 냄새에 집 나간 며느리도 돌아온다. 빈칸에 들어갈 단어는?,꽁치,노가리,전어,3,4,◇시사/상식◇,,,,,,,
심마니가 산삼을 발견했을 때 외치는 소리는?,개이득!,유레카!,심봤다!,3,1,◇시사/상식◇,,,,,,,
실제로 존재하지 않는 노래 제목은?,난리가 난리가 났네,레알 실화냐,인정 어 인정,2,4,◇시사/상식◇,,,,,,,
국내에서 가장 오래된 콘 아이스크림은?,부라보콘,월드콘,구구콘,1,5,◇시사/상식◇,,,,,,,
코카콜라의 북극곰이 처음 등장한 연도는?,1993년,2000년,2012년,1,5,◇시사/상식◇,,,,,,,
감자의 주 성분으로 흔히 녹말이라고도 부르는 이것은?,기분,정분,전분,3,3,◇시사/상식◇,,,,,,,
프로 축구에서 등 번호 1번은 보통 어떤 포지션의 선수가 사용하는가?,골키퍼,스타플레이어,공격수,1,2,◇시사/상식◇,,,,,,,
당대 최고의 스타들만 찍을 수 있었던 오란씨 CF의 1대 오란씨 걸은?,윤여정,고두심,김혜자,1,4,◇시사/상식◇,,,,,,,
체온이 가장 낮은 신체 부위는?,귀,코,손가락,1,4,◇시사/상식◇,,,,,,,
영화배우 최민식은 [   ] 감독의 러브콜에 한동안 잠수까지 탔다.,이경규,심형래,봉만대,1,5,◇시사/상식◇,,,,,,,
국내 최초로 시내버스를 운행한 지역은?,서울,대구,인천,2,4,◇시사/상식◇,,,,,,,
엘리베이터와 에스컬레이터를 각각 거꾸로 읽으면?,"터이베리얼, 터이레칼스에","터이베리엘, 터이레컬스에","터이베리엘, 터이레컬스엘",2,4,◇시사/상식◇,,,,,,,
도서관에서 할 수 있는 행동으로 바람직하지 않은 것은?,노래를 크게 틀고 춤추기,조용히 앉아서 책 읽기,빌렸던 책을 반납하기,1,1,◇시사/상식◇,,,,,,,
야구에서 ERA가 뜻하는 것은?,승률,피안타 개수,평균 자책점,3,3,◇시사/상식◇,,,,,,,
햄과 치즈를 넣어 만든 프랑스식 샌드위치 '크로크무슈'의 '무슈'는 무엇을 뜻할까?,바삭한,밀가루,아저씨 팬,3,3,◇시사/상식◇,,,,,,,
2000년대 유행했던 신조어 '완소'의 뜻은?,완전 소중,완전 소심,완전 소름,1,2,◇시사/상식◇,,,,,,,
치킨의 원조! 대구! 대구 치맥페스티벌이 열리는 달은 몇월일까?,5월,7월,9월,2,3,◇시사/상식◇,,,,,,,
"대구인들의 휴식처 야외음악당, 정확한 이름은 무엇일까?",노스페이스 야외음악당,코오롱 야외음악당,밀레 야외음악당,2,3,◇시사/상식◇,,,,,,,
대구 이월드에 있는 타워의 정확한 명칭은?,대구타워,83타워,두류타워,2,3,◇시사/상식◇,,,,,,,
"길을 가다보면 어느새 보이는 대구의 명물 '83타워'의 정확한 ""총높이""는? ",153m,202m,312m,2,4,◇시사/상식◇,,,,,,,
